strategy,fill_model,maker_fee_bps,queue_fraction,rows,contiguous_segments,fills,fills_per_transition,spread_capture,adverse_selection,markout_1s,total_fees,liquidation_adjusted_pnl,maximum_drawdown,max_absolute_inventory
signal_inventory,queue_aware,5.0,1.0,87570,381,23964,0.2748511853559509,17.85010084986832,-79.6667571499971,-61.816656300128784,855.1914701261671,-963.9548302286154,-963.9148195661154,0.010000000000000002
signal_inventory,queue_aware,5.0,2.0,87570,381,21699,0.24887313766644875,13.594657249868593,-60.23872504999894,-46.64406780013035,766.2571135562105,-846.6115125500572,-846.6115125500572,0.010000000000000002
signal_inventory,touch,0.0,1.0,87570,381,74476,0.8541903221736687,22.70184499969569,-94.43182499999095,-71.72998000029526,0.0,-29.75789000033151,-42.91938000020724,0.010000000000000002
signal_inventory,touch,0.5,1.0,87570,381,74476,0.8541903221736687,22.70184499969569,-94.43182499999095,-71.72998000029526,294.4485494130136,-328.62635543482554,-328.62234986857555,0.010000000000000002
signal_inventory,touch,1.0,1.0,87570,381,74476,0.8541903221736687,22.70184499969569,-94.43182499999095,-71.72998000029526,588.8970988260272,-627.494820869288,-627.486814736788,0.010000000000000002
signal_inventory,touch,2.0,1.0,87570,381,74476,0.8541903221736687,22.70184499969569,-94.43182499999095,-71.72998000029526,1177.7941976520544,-1225.2317517383176,-1225.2157444733175,0.010000000000000002
signal_inventory,touch,5.0,1.0,87570,381,74476,0.8541903221736687,22.70184499969569,-94.43182499999095,-71.72998000029526,2944.485494129952,-3018.442544345397,-3018.402533682897,0.010000000000000002
symmetric,queue_aware,0.0,0.25,87570,381,16929,0.19416440147266284,0.21130096250216177,-95.77810779999199,-95.56680683748982,0.0,-179.82042855000907,-179.86942355000906,0.010000000000000002
symmetric,queue_aware,0.0,0.5,87570,381,13242,0.15187695695557926,0.1775809750038398,-86.86897499999435,-86.6913940249905,0.0,-155.9193059000081,-155.9501359000081,0.010000000000000002
symmetric,queue_aware,0.0,1.0,87570,381,9782,0.11219305187581002,0.1659487500051185,-72.7505279999967,-72.58457924999159,0.0,-125.5414392000036,-125.77005920000336,0.010000000000000002
symmetric,queue_aware,0.0,2.0,87570,381,6613,0.07584672378396358,0.13605550000423625,-54.04386969999826,-53.90781419999403,0.0,-90.7663094000054,-91.60196940000519,0.010000000000000002
symmetric,queue_aware,0.5,0.25,87570,381,16929,0.19416440147266284,0.21130096250216177,-95.77810779999199,-95.56680683748982,66.48929601632241,-251.94644612194327,-251.97148082919324,0.010000000000000002
symmetric,queue_aware,0.5,0.5,87570,381,13242,0.15187695695557926,0.1775809750038398,-86.86897499999435,-86.6913940249905,51.93931476892995,-212.8164683180965,-212.8233350915965,0.010000000000000002
symmetric,queue_aware,0.5,1.0,87570,381,9782,0.11219305187581002,0.1659487500051185,-72.7505279999967,-72.58457924999159,38.401111340015134,-168.16856031557194,-168.16525301207196,0.010000000000000002
symmetric,queue_aware,0.5,2.0,87570,381,6613,0.07584672378396358,0.13605550000423625,-54.04386969999826,-53.90781419999403,26.001180927204942,-120.18005023697044,-120.66205023372025,0.010000000000000002
symmetric,queue_aware,1.0,0.25,87570,381,16929,0.19416440147266284,0.21130096250216177,-95.77810779999199,-95.56680683748982,132.97859203264483,-324.07246369386826,-324.07354310836826,0.010000000000000002
symmetric,queue_aware,1.0,0.5,87570,381,13242,0.15187695695557926,0.1775809750038398,-86.86897499999435,-86.6913940249905,103.8786295378599,-269.7136307361877,-269.70562460368774,0.010000000000000002
symmetric,queue_aware,1.0,1.0,87570,381,9782,0.11219305187581002,0.1659487500051185,-72.7505279999967,-72.58457924999159,76.80222268003027,-210.79568143114426,-210.78767529864427,0.010000000000000002
symmetric,queue_aware,1.0,2.0,87570,381,6613,0.07584672378396358,0.13605550000423625,-54.04386969999826,-53.90781419999403,52.002361854409884,-149.59379107393983,-149.7770660674401,0.010000000000000002
symmetric,queue_aware,2.0,0.25,87570,381,16929,0.19416440147266284,0.21130096250216177,-95.77810779999199,-95.56680683748982,265.95718406528965,-468.3244988377527,-468.3244988377527,0.010000000000000002
symmetric,queue_aware,2.0,0.5,87570,381,13242,0.15187695695557926,0.1775809750038398,-86.86897499999435,-86.6913940249905,207.7572590757198,-383.5079555723807,-383.4919483073807,0.010000000000000002
symmetric,queue_aware,2.0,1.0,87570,381,9782,0.11219305187581002,0.1659487500051185,-72.7505279999967,-72.58457924999159,153.60444536006054,-296.0499236622881,-296.0339163972881,0.010000000000000002
symmetric,queue_aware,2.0,2.0,87570,381,6613,0.07584672378396358,0.13605550000423625,-54.04386969999826,-53.90781419999403,104.00472370881977,-208.42127274788,-208.42127274788,0.010000000000000002
symmetric,queue_aware,5.0,0.25,87570,381,16929,0.19416440147266284,0.21130096250216177,-95.77810779999199,-95.56680683748982,664.8929601632241,-901.0806042693686,-901.0806042693686,0.010000000000000002
symmetric,queue_aware,5.0,0.5,87570,381,13242,0.15187695695557926,0.1775809750038398,-86.86897499999435,-86.6913940249905,519.3931476893022,-724.8909300809373,-724.8509194184373,0.010000000000000002
symmetric,queue_aware,5.0,1.0,87570,381,9782,0.11219305187581002,0.1659487500051185,-72.7505279999967,-72.58457924999159,384.01111340015206,-551.8126503557262,-551.7726396932262,0.010000000000000002
symmetric,queue_aware,5.0,2.0,87570,381,6613,0.07584672378396358,0.13605550000423625,-54.04386969999826,-53.90781419999403,260.01180927204956,-384.9037177696973,-384.9037177696973,0.010000000000000002
symmetric,touch,0.0,1.0,87570,381,127948,1.4674786957070272,0.7903599999092112,-75.3512049999929,-74.56084500008369,0.0,-135.6359500005563,-135.88221000051337,0.010000000000000002
